Match_id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,Stadium,Location,Highlights_available
6850342,2014,47th Match,2014-05-20,KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS,Kolkata Knight Riders won by 8 wkts,https://www.cricbuzz.com/cricket-scores/13704/kkr-vs-csk-47th-match-indian-premier-league-2014,Eden Gardens,Kolkata,False
1282864,2014,48th Match,2014-05-21,KINGS XI PUNJAB vs MUMBAI INDIANS,Mumbai Indians won by 7 wkts,https://www.cricbuzz.com/cricket-scores/13705/kxip-vs-mi-48th-match-indian-premier-league-2014,Punjab Cricket Association IS Bindra Stadium,Mohali,False
7425953,2014,49th Match,2014-05-22,KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BANGALORE,Kolkata Knight Riders won by 30 runs,https://www.cricbuzz.com/cricket-scores/13706/kkr-vs-rcb-49th-match-indian-premier-league-2014,Eden Gardens,Kolkata,False
5203463,2014,50th Match,2014-05-22,CHENNAI SUPER KINGS vs SUNRISERS HYDERABAD,Sunrisers Hyderabad won by 6 wkts,https://www.cricbuzz.com/cricket-scores/13707/csk-vs-srh-50th-match-indian-premier-league-2014,JSCA International Stadium Complex,Ranchi,False
2124852,2014,51st Match,2014-05-23,MUMBAI INDIANS vs DELHI CAPITALS,Mumbai Indians won by 15 runs,https://www.cricbuzz.com/cricket-scores/13708/mi-vs-dc-51st-match-indian-premier-league-2014,Wankhede Stadium,Mumbai,False
9298510,2014,52nd Match,2014-05-23,KINGS XI PUNJAB vs RAJASTHAN ROYALS,Kings XI Punjab won by 16 runs,https://www.cricbuzz.com/cricket-scores/13709/kxip-vs-rr-52nd-match-indian-premier-league-2014,Punjab Cricket Association IS Bindra Stadium,Mohali,False
2424410,2014,53rd Match,2014-05-24,ROYAL CHALLENGERS BANGALORE vs CHENNAI SUPER KINGS,Chennai Super Kings won by 8 wkts,https://www.cricbuzz.com/cricket-scores/13710/rcb-vs-csk-53rd-match-indian-premier-league-2014,M.Chinnaswamy Stadium,Bengaluru,False
2368992,2014,54th Match,2014-05-24,KOLKATA KNIGHT RIDERS vs SUNRISERS HYDERABAD,Kolkata Knight Riders won by 4 wkts,https://www.cricbuzz.com/cricket-scores/13711/kkr-vs-srh-54th-match-indian-premier-league-2014,Eden Gardens,Kolkata,False
9283009,2014,55th Match,2014-05-25,KINGS XI PUNJAB vs DELHI CAPITALS,Kings XI Punjab won by 7 wkts,https://www.cricbuzz.com/cricket-scores/13712/kxip-vs-dc-55th-match-indian-premier-league-2014,Punjab Cricket Association IS Bindra Stadium,Mohali,False
7668208,2014,56th Match,2014-05-25,MUMBAI INDIANS vs RAJASTHAN ROYALS,Mumbai Indians won by 5 wkts,https://www.cricbuzz.com/cricket-scores/13713/mi-vs-rr-56th-match-indian-premier-league-2014,Wankhede Stadium,Mumbai,False
1260597,2014,Qualifier 1,2014-05-28,KINGS XI PUNJAB vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 28 runs,https://www.cricbuzz.com/cricket-scores/13714/kxip-vs-kkr-qualifier-1-indian-premier-league-2014,Eden Gardens,Kolkata,False
